Rank,Country,Rate
1,Finland,52.10
2,United Kingdom,38.50
3,Brunei,31.25
4,Iceland,31.16
5,Sri Lanka,30.93
6,Netherlands,30.48
7,Sweden,28.51
8,United States,28.37
9,Ireland,27.11
10,Denmark,26.66
11,Canada,26.49
12,Norway,24.99
13,Suriname,24.19
14,New Zealand,23.23
15,Bahrain,22.90
16,Albania,22.80
17,Cuba,22.35
18,Afghanistan,22.08
19,Mozambique,21.93
20,Belgium,21.05
21,Switzerland,20.99
22,Qatar,20.84
23,Australia,20.71
24,Honduras,20.64
25,Libya,20.43
26,Uruguay,20.39
27,Oman,20.37
28,Viet Nam,20.00
29,Spain,19.82
30,Ethiopia,19.59
31,Georgia,19.53
32,Bolivia,19.46
33,Saudi Arabia,19.44
34,Senegal,19.29
35,Equ. Guinea,19.28
36,Gabon,19.18
37,Djibouti,18.97
38,Kiribati,18.94
39,Yemen,18.91
40,Angola,18.83
41,Cameroon,18.74
42,Congo,18.71
43,Tunisia,18.59
44,Niger,18.56
45,Ghana,18.48
46,DR Congo,18.36
47,Iraq,18.30
48,Togo,18.25
49,Comoros,18.21
50,Cote d Ivoire,18.07
51,Gambia,18.06
52,Benin,18.03
53,Burkina Faso,18.02
54,Algeria,17.96
55,Guinea,17.94
56,Luxembourg,17.93
57,Cambodia,17.78
58,Chad,17.77
59,Iran,17.72
60,Germany,17.66
61,Mauritania,17.62
62,Mali,17.62
63,France,17.53
64,Arab Emirates,17.51
65,Kuwait,17.45
66,Saint Lucia,17.42
67,Portugal,17.41
68,Eritrea,17.40
69,Mongolia,17.35
70,Morocco,17.34
71,Hungary,17.33
72,Nigeria,17.18
73,Tajikistan,17.00
74,Somalia,16.92
75,Egypt,16.91
76,Sudan,16.89
77,Montenegro,16.88
78,Sierra Leone,16.88
79,Lebanon,16.87
80,Malawi,16.83
81,Zimbabwe,16.75
82,Rwanda,16.72
83,Guinea-Bissau,16.71
84,Uganda,16.60
85,Bahamas,16.55
86,Belize,16.54
87,Botswana,16.50
88,Maldives,16.49
89,Vanuatu,16.47
90,Azerbaijan,16.43
91,Syria,16.27
92,Burundi,16.18
93,Thailand,16.15
94,Jordan,16.14
95,Zambia,16.12
96,Bosnia/Herzeg.,16.07
97,Namibia,15.99
98,Turkey,15.98
99,Guatemala,15.83
100,Micronesia,15.82
101,Belarus,15.74
102,Slovakia,15.61
103,Haiti,15.58
104,Kenya,15.53
105,Central Africa,15.52
106,Bhutan,15.48
107,Malaysia,15.28
108,Pakistan,15.27
109,Liberia,15.25
110,Samoa,15.20
111,Cape Verde,15.13
112,Ecuador,15.03
113,Swaziland,15.03
114,Cyprus,14.99
115,Kyrgyzstan,14.79
116,Tonga,14.76
117,Dominican Rep.,14.70
118,Sao Tome,14.70
119,Lesotho,14.68
120,Peru,14.64
121,China,14.54
122,South Sudan,14.51
123,Indonesia,14.48
124,Jamaica,14.45
125,Trinidad/Tob.,14.32
126,Israel,14.32
127,South Africa,14.30
128,Tanzania,14.29
129,India,14.14
130,Russia,14.12
131,Czech Republic,14.06
132,Laos,13.95
133,Seychelles,13.86
134,Myanmar,13.84
135,Italy,13.75
136,Fiji,13.62
137,Bangladesh,13.43
138,Malta,13.41
139,Timor-Leste,13.34
140,New Guinea,13.34
141,Kazakhstan,13.32
142,Madagascar,13.15
143,North Korea,12.82
144,Turkmenistan,12.29
145,Barbados,12.27
146,Ukraine,12.10
147,Solomon Isl.,12.05
148,Austria,11.93
149,Nepal,11.70
150,Chile,11.47
151,Brazil,11.44
152,Serbia,11.34
153,Costa Rica,11.16
154,Latvia,9.87
155,South Korea,9.76
156,Japan,8.26
157,Uzbekistan,8.17
158,Greece,7.71
159,Croatia,7.31
160,Lithuania,7.30
161,Estonia,7.18
162,Grenada,6.68
163,Slovenia,5.34
164,Antigua/Bar.,5.25
165,El Salvador,5.15
166,Romania,5.12
167,Moldova,4.85
168,Panama,4.63
169,Argentina,4.58
170,Poland,3.48
171,Philippines,3.22
172,Nicaragua,3.09
173,Colombia,3.02
174,Guyana,2.77
175,Mauritius,2.58
176,Mexico,2.50
177,Paraguay,2.21
178,No Macedonia,2.11
179,Venezuela,1.96
180,Armenia,0.77
181,Bulgaria,0.74
182,Singapore,0.51
183,Saint Vincent,0.50
